model,seed,macro_f1,macro_precision,macro_recall,binary_f1,weighted_f1,accuracy,n_params_M,train_time_sec
ai4bharat/IndicBERTv2-MLM-only,123,0.6756174225415357,0.6818640955004591,0.6755762411347517,0.7176470588235294,0.6782704560609971,0.6810631229235881,278.04,334.2
ai4bharat/IndicBERTv2-MLM-only,2024,0.6590172392521059,0.6643694477516255,0.6591090425531916,0.7020648967551623,0.6617345332473155,0.6644518272425249,278.04,456.2
ai4bharat/IndicBERTv2-MLM-only,42,0.6631725586918791,0.6814625850340137,0.6655363475177305,0.7247191011235955,0.6670575563869044,0.6744186046511628,278.04,266.7
bert-base-multilingual-cased,123,0.5820468839336763,0.6096893101632438,0.5923315602836879,0.6792452830188679,0.5881823310520107,0.6046511627906976,177.85,129.3
bert-base-multilingual-cased,2024,0.6330895390070922,0.6330895390070922,0.6330895390070922,0.65625,0.6345514950166113,0.6345514950166113,177.85,136.4
bert-base-multilingual-cased,42,0.5928905843592855,0.614939024390244,0.6002659574468086,0.6794520547945205,0.5983545974432373,0.6112956810631229,177.85,131.0
google/muril-base-cased,123,0.6010120220846733,0.6217452498240676,0.6073581560283688,0.6831955922865014,0.6061996893067155,0.6179401993355482,237.56,121.6
google/muril-base-cased,2024,0.6074491600353669,0.6076695513952668,0.6080895390070922,0.6217948717948718,0.6083547033025781,0.6079734219269103,237.56,124.4
google/muril-base-cased,42,0.5833145994297005,0.6222574896981847,0.5973182624113476,0.6912928759894459,0.5901305039301497,0.6112956810631229,237.56,117.2
l3cube-pune/hing-roberta,123,0.6896629012013628,0.6950991139124875,0.6893395390070922,0.727810650887574,0.6920708986898612,0.6943521594684385,278.05,683.8
l3cube-pune/hing-roberta,2024,0.6995300425092814,0.7057193882223647,0.6991356382978724,0.7374631268436578,0.7019244896931788,0.7043189368770764,278.05,772.6
l3cube-pune/hing-roberta,42,0.6634623142801157,0.6898311048557354,0.6673980496453901,0.7327823691460055,0.667837998806534,0.6777408637873754,278.05,347.8
xlm-roberta-base,123,0.6154518558364712,0.6194847903535214,0.6159574468085106,0.6627218934911243,0.6184356788113496,0.6212624584717608,278.05,156.0
xlm-roberta-base,2024,0.647662790827304,0.6496401259559155,0.6474512411347517,0.6827794561933535,0.6498794574118719,0.6511627906976745,278.05,161.2
xlm-roberta-base,42,0.6295426065162908,0.6330227272727273,0.629720744680851,0.6726190476190477,0.6322617174164648,0.6345514950166113,278.05,174.9
